Month,Calls Answered,Svc Level (% answered w/i 60 sec),Avg Speed Answer (sec),Transferred Calls %
06/01/2016 12:00:00 AM,77887,61.4%,131,12.1%
07/01/2016 12:00:00 AM,75454,56.6%,117,10.7%
08/01/2016 12:00:00 AM,87389,57.5%,124,21.6%
09/01/2008 12:00:00 AM,282590,50.8%,55,1.2%
09/01/2016 12:00:00 AM,81765,60.8%,82,9.8%
01/01/2011 12:00:00 AM,205797,86%,14,2.7%
10/01/2016 12:00:00 AM,80919,60%,78,11%
11/01/2016 12:00:00 AM,74029,68.8%,52,10.3%
12/01/2016 12:00:00 AM,76264,72%,48,10.4%
04/01/2008 12:00:00 AM,250749,55%,48,
01/01/2017 12:00:00 AM,88607,72.2%,38,8.4%
02/01/2017 12:00:00 AM,73473,69.2%,59,9.9%
06/01/2007 12:00:00 AM,141639,86.1%,,
03/01/2017 12:00:00 AM,79410,74.1%,37,11.9%
04/01/2017 12:00:00 AM,73427,72.7%,55,8%
05/01/2017 12:00:00 AM,76847,60.1%,108,8.1%
06/01/2017 12:00:00 AM,75870,70.8%,59,8.1%
07/01/2017 12:00:00 AM,76892,73.8%,54,8.2%
08/01/2017 12:00:00 AM,75949,60.6%,88,7.8%
09/01/2017 12:00:00 AM,68468,51.5%,127,7.8%
10/01/2017 12:00:00 AM,72996,57.6%,102,9.8%
04/01/2007 12:00:00 AM,91892,68.8%,,
07/01/2007 12:00:00 AM,160996,91.8%,12,
07/01/2008 12:00:00 AM,293598,66.9%,34,1.4%
11/01/2017 12:00:00 AM,72053,77.9%,46,9.1%
